Constituency name,2024 Winner,2024 Runner-up,2024 Electorate,2024 Valid Votes,2024 Majority,2024 Result Type,2019 Winner,2019 Runner-up,2019 Electorate,2019 Valid Votes,2019 Majority,2019 Result Type,Total Population,Total Households,Female,Male,Christian,Muslim,No Religion,No Qualifications,Level 4+,White,Black,Asian,Mixed,Other,Social Rent,Private Rent,Own Outright,Detached,Flat,Employed,Unemployed,Long-term Sick,Full-time Students,Born Outside UK,Recent Migrants,Veterans,Disabled,Deprived (2+ Dimensions),2019 Vote Share,2024 Vote Share,2019 Turnout Rate,2024 Turnout Rate,Vote Share Swing,% Female,% Male,% Christian,% Muslim,% No Religion,% No Qualifications,% Level 4+,% White,% Black,% Asian,% Mixed,% Other,% Social Rent,% Private Rent,% Own Outright,% Detached,% Flat,% Employed,% Unemployed,% Long-term Sick,% Full-time Students,% Born Outside UK,% Recent Migrants,% Veterans,% Disabled,% Deprived (2+ Dimensions),Incumbent Retained,Safe Seat 2019,Safe Seat 2024,Non-White,% Non-White,Minority Ethnic,% Minority Ethnic,UK Born,% UK Born,Other Religions,% Other Religions,All Renters,% All Renters,% Highly Educated,Economically Inactive,% Economically Inactive,% Owner Occupier,% Deprived Households
Telford,Lab,RUK,73808.0,40730.0,8102.0,Lab gain from Con,Con,Lab,68921.0,42825.0,10941.0,Con hold,185541.0,76510.0,141605.0,48169.0,38746.0,341.0,399.0,10717.0,1938.0,90206.0,1973.0,4379.0,3398.0,916.0,918.0,5198.0,28959.0,14625.0,3346.0,47119.0,45648.0,914.0,15604.0,21108.0,1184.0,3951.0,15172.0,38057.0,0.15874697116989017,0.10977129850422718,0.6213635901974724,0.5518371992195968,-0.048975672665662995,0.7632005863933039,0.25961377808678404,0.20882715949574487,0.0018378687190432304,0.002150468090610701,0.057760818363596186,0.010445130725823404,0.48617825709681417,0.010633768277631359,0.023601252553344006,0.01831401145838386,0.004936914213031082,0.004947693501705822,0.02801537126565018,0.15607871036590296,0.07882354843403884,0.018033749952840614,0.2539546515325454,0.24602648471227384,0.004926134924356342,0.08410001024032424,0.1137646126732097,0.0063813388954462895,0.02129448477694957,0.08177168388658032,0.20511369454729683,0,1,1,10666.0,0.057485946502390306,95335.0,0.5138217429031858,164433.0,0.8862353873267903,146055.0,0.7871845036946012,6116.0,0.032963064767356005,0.010445130725823404,77338.0,0.41682431376353474,0.15607871036590296,0.4974121029930728
Tewkesbury,LD,Con,73458.0,48369.0,6262.0,LD gain from Con,Con,LD,83958.0,61140.0,22410.0,Con hold,118836.0,52899.0,319666.0,110708.0,60224.0,1899.0,1205.0,24609.0,5334.0,129617.0,25953.375,68808.0,23688.5,14531.75,869.0,11599.0,45468.0,4659.0,23191.0,115210.0,109214.0,2553.0,41350.0,17296.0,1243.0,1911.0,25902.0,21849.0,0.26691917387265063,0.08524599090636827,0.7282212534838848,0.6584578943069509,-0.18167318296628238,2.6899761015180585,0.9316032178801037,0.5067824564946649,0.01598000605877007,0.010140024908276953,0.2070837120064627,0.044885388266181964,1.0907216668349657,0.21839657174593557,0.5790164596586893,0.1993377427715507,0.1222840721666835,0.007312598875761554,0.09760510283079202,0.3826113299000303,0.03920529132586085,0.1951513009525733,0.969487360732438,0.9190312699855263,0.021483388872058973,0.3479585310848564,0.14554512100710223,0.010459793328620957,0.016080985559931333,0.2179642532565889,0.18385842673937192,0,1,1,132981.625,1.119034846342859,-10781.0,-0.09072166683496584,101540.0,0.8544548789928977,55508.0,0.4670975125382881,12468.0,0.10491770170655357,0.044885388266181964,179019.0,1.5064374431990306,0.3826113299000303,0.41303238246469687
The Wrekin,Con,Lab,78942.0,49462.0,883.0,Con hold,Con,Lab,70693.0,48890.0,18726.0,Con hold,185541.0,76510.0,141605.0,48169.0,38746.0,341.0,399.0,10717.0,1938.0,90206.0,1973.0,4379.0,3398.0,916.0,918.0,5198.0,28959.0,14625.0,3346.0,47119.0,45648.0,914.0,15604.0,21108.0,1184.0,3951.0,15172.0,38057.0,0.2648918563365538,0.011185427275721416,0.6915819105144781,0.6265612728332193,-0.2537064290608324,0.7632005863933039,0.25961377808678404,0.20882715949574487,0.0018378687190432304,0.002150468090610701,0.057760818363596186,0.010445130725823404,0.48617825709681417,0.010633768277631359,0.023601252553344006,0.01831401145838386,0.004936914213031082,0.004947693501705822,0.02801537126565018,0.15607871036590296,0.07882354843403884,0.018033749952840614,0.2539546515325454,0.24602648471227384,0.004926134924356342,0.08410001024032424,0.1137646126732097,0.0063813388954462895,0.02129448477694957,0.08177168388658032,0.20511369454729683,1,1,0,10666.0,0.057485946502390306,95335.0,0.5138217429031858,164433.0,0.8862353873267903,146055.0,0.7871845036946012,6116.0,0.032963064767356005,0.010445130725823404,77338.0,0.41682431376353474,0.15607871036590296,0.4974121029930728
Thornbury And Yate,LD,Con,78192.0,53367.0,3014.0,LD gain from Con,Con,LD,69492.0,52243.0,12369.0,Con hold,290424.0,118101.0,312423.0,107847.0,72776.0,1977.625,1842.0,20948.0,4701.0,125064.0,25953.375,68808.0,23688.5,14531.75,715.0,27771.25,27507.0,1584.0,27148.125,105519.0,98432.0,2680.0,49200.0,30668.0,2096.0,1146.0,31882.0,51801.0,0.17799171127611813,0.03854614282791079,0.751784378057906,0.682512277470841,-0.13944556844820732,1.075747872076688,0.37134327741508966,0.2505853510729141,0.0068094406798336225,0.0063424510371043715,0.07212902514943668,0.01618667878687712,0.4306255681348649,0.08936374059995042,0.23692256838277828,0.08156522876897226,0.05003632619893673,0.0024619177478445308,0.09562312343332507,0.0947132468391042,0.005454094702917114,0.09347755350797454,0.3633274109577721,0.33892515770046555,0.009227887502410268,0.16940748698454672,0.1055973335537008,0.007217034404870121,0.0039459548797620035,0.10977742886262844,0.17836335840013223,0,1,0,132981.625,0.4578878639506377,165360.0,0.5693744318651351,259756.0,0.8944026664462992,213828.375,0.7362627572101479,28486.25,0.0980850411811696,0.01618667878687712,182194.0,0.6273379610500509,0.0947132468391042,0.43861609977900273
Thurrock,Lab,RUK,73392.0,36424.0,6474.0,Lab gain from Con,Con,Lab,79659.0,47467.0,11482.0,Con hold,176001.0,66377.0,122089.0,40657.0,25389.0,275.0,327.0,11117.0,1809.0,78332.0,1134.0,2742.0,2316.0,762.0,288.0,3134.0,26944.0,11067.0,5231.0,36219.0,34818.0,959.0,11965.0,36941.0,996.0,3446.0,16649.0,33398.0,0.14413939416763957,0.08821124918247221,0.5958774275348674,0.4962938739917157,-0.05592814498516736,0.6936835586161443,0.2310043692933563,0.144254862188283,0.001562491122209533,0.0018579439889546082,0.06316441383855774,0.010278350691189255,0.44506565303606227,0.0064431452094022195,0.01557945693490378,0.01315901614195374,0.004329520854995142,0.0016363543388958016,0.01780671700728973,0.15309003926114056,0.06288032454361055,0.029721422037374788,0.2057886034738439,0.1978284214294237,0.005448832677087062,0.06798256828086204,0.20989085289288129,0.005659058755347981,0.019579434207760184,0.09459605343151459,0.18976028545292356,0,1,1,6954.0,0.039511139141254877,97669.0,0.5549343469639377,139060.0,0.7901091471071187,150010.0,0.8523247027005528,3422.0,0.019443071346185534,0.010278350691189255,64391.0,0.3658558758188874,0.15309003926114056,0.5031562137487383
Tooting,Lab,Con,76168.0,51587.0,19112.875,Lab hold,Lab,Con,76954.0,58473.0,14307.0,Lab hold,327506.0,137393.0,192432.0,64022.0,49987.0,564.0,603.0,11859.0,2405.0,120088.0,2526.0,8574.0,5692.0,1560.0,642.0,6427.0,37637.0,21167.0,6934.0,61348.0,59371.0,1621.0,25391.0,121043.75,5870.0,3261.0,18396.0,52697.0,0.18591626166281155,0.25093050887511814,0.759843542895756,0.677279172355845,0.06501424721230659,0.5875678613521584,0.19548344152473543,0.1526292648073623,0.0017221058545492296,0.001841187642363804,0.036210023633154814,0.007343376915232088,0.3666741983352977,0.007712835795374741,0.02617967304415797,0.017379834262578397,0.0047632715125829755,0.0019602694301783783,0.019624067956006915,0.11492003199941375,0.06463087699156657,0.02117213119759638,0.18731870561150024,0.18128217498305374,0.004949527642241669,0.0775283506256374,0.36959246548154845,0.01792333575568081,0.009957069488803259,0.05616996329838232,0.16090392237088785,1,1,1,18352.0,0.056035614614694085,207418.0,0.6333258016647023,206462.25,0.6304075345184516,276352.0,0.8438074416957246,7069.0,0.02158433738618529,0.007343376915232088,104779.0,0.31993001654931513,0.11492003199941375,0.38354938024499063
Torbay,LD,Con,76185.0,45881.0,5349.0,LD gain from Con,Con,LD,75054.0,50426.0,17749.0,Con hold,139324.0,62992.0,546215.0,188015.0,70233.0,1977.625,2303.0,52925.0,8793.375,158463.0,25953.375,68808.0,23688.5,14531.75,1775.0,23382.0,61814.0,6798.0,27148.125,181106.75,169610.0,3276.375,78326.0,9897.0,673.0,2107.0,44811.0,33221.0,0.2364830655261545,0.0702106713920063,0.6718629253604071,0.6022314103826213,-0.16627239413414818,3.920465964227269,1.3494803479658926,0.5040983606557377,0.014194431684419051,0.016529815394332636,0.37986994344118746,0.06311457466050358,1.1373704458671874,0.18628071976113234,0.4938704028021016,0.17002454709884873,0.10430184318566794,0.012740087852774827,0.16782463897103156,0.44367086790502713,0.048792742097556775,0.19485605495104935,1.299896284918607,1.2173781975826132,0.023516228359794437,0.5621859837501076,0.07103585886135913,0.004830467112629554,0.015123022594814964,0.3216315925468692,0.238444202003962,0,1,1,132981.625,0.9544775128477506,-19139.0,-0.13737044586718727,129427.0,0.9289641411386409,64810.375,0.4651773922655106,25157.0,0.1805647268238064,0.06311457466050358,296023.375,2.1247120022393844,0.44367086790502713,0.5273844297688596
Torfaen,Lab,RUK,71738.0,34687.0,7322.0,Lab hold,Lab,Con,62330.0,37176.0,3742.0,Lab hold,92276.0,40241.0,137755.0,46797.0,46872.0,260.0,490.0,16631.0,2152.0,89596.0,935.0,2668.0,2010.0,490.0,223.0,9575.0,25915.0,8061.0,4193.0,41766.0,39763.0,632.0,15972.0,3286.0,158.0,2689.0,21501.0,20979.0,0.060035296005133965,0.10206585073461763,0.5964383122092091,0.48352337673199697,0.042030554729483666,1.4928583813776064,0.5071416186223937,0.5079543976765356,0.0028176340543586633,0.005310156487060558,0.1802310459924574,0.02332134032684555,0.9709566951319953,0.010132645541635961,0.028913260219341975,0.021782478651003512,0.005310156487060558,0.0024166630543153147,0.10376479257878539,0.2808422558411721,0.08735749273917379,0.04543976765356106,0.45262039967055356,0.43091378039793665,0.006849018162902597,0.17308942737006372,0.03561055962547141,0.0017122545407256492,0.02914083835450171,0.2330074992414062,0.22735055702457843,1,0,1,6103.0,0.066138540899042,2680.0,0.02904330486800468,88990.0,0.9643894403745286,44654.0,0.4839178117820452,9798.0,0.1061814556331007,0.02332134032684555,77868.0,0.8438597251723091,0.2808422558411721,0.521333962873686
Tottenham,Lab,Green,75906.0,36548.0,15434.0,Lab hold,Lab,Con,75740.0,46856.0,30175.0,Lab hold,259146.0,106081.0,149915.0,51123.0,41294.0,222.0,445.0,18134.0,2181.0,97131.0,1789.0,2762.0,2844.0,580.0,297.0,7031.0,29156.0,13006.0,4092.0,50028.0,47884.0,780.0,16158.0,102927.0,4063.0,2639.0,20325.0,51457.0,0.39840242936361236,0.20333043501172504,0.6186427251122261,0.4814902642742339,-0.19507199435188732,0.5784962916657019,0.19727489523280314,0.15934646878593534,0.0008566599523048784,0.0017171787332237425,0.06997599808602101,0.008416105207103331,0.37481188210506816,0.006903444390420844,0.010658084631829162,0.01097450857817601,0.0022381205961118445,0.0011460720983538237,0.02713142398493513,0.11250800706937403,0.05018792495350111,0.01579032668843046,0.19304947790048851,0.18477614935210268,0.003009886318909032,0.06235095274478479,0.39717765275173067,0.01567842065862487,0.010183448712308892,0.0784306915792642,0.19856374398987445,1,1,1,7975.0,0.03077415819653786,162015.0,0.6251881178949318,156219.0,0.6028223472482693,217185.0,0.8380796925285361,7328.0,0.028277496083288958,0.008416105207103331,85147.0,0.3285676799950607,0.11250800706937403,0.4850727274441229
Truro And Falmouth,Lab,Con,72982.0,49600.0,8151.0,Lab gain from Con,Con,Lab,76719.0,59190.0,4561.0,Con hold,568718.375,223607.0,428411.0,149731.0,94208.0,1977.625,1802.0,38319.0,6316.0,161006.0,25953.375,68808.0,23688.5,14531.75,1775.0,27771.25,46927.0,4656.0,27148.125,148221.0,137841.0,2805.0,61184.0,30157.0,2652.0,3186.0,41576.0,114028.875,0.059450722767502184,0.11168507303170645,0.7715168341610292,0.6796196322380861,0.05223435026420427,0.7532919962362742,0.2632779361138103,0.16564965040913263,0.0034773362123212566,0.003168527832426726,0.06737781243660362,0.01110567246926038,0.28310321431059793,0.045634845190293,0.12098782635605893,0.04165242594808019,0.025551750459970633,0.0031210526651262145,0.048831286662752896,0.08251359910781852,0.008186828850043749,0.04773562134334063,0.26062284342404096,0.24237127910628878,0.004932142380664244,0.10758224578201821,0.05302624519561198,0.004663116432628012,0.005602069741460349,0.07310472428466902,0.20050147843385577,0,0,1,132981.625,0.23382684795440273,407712.375,0.7168967856894021,538561.375,0.9469737548043881,470730.75,0.8277044855461194,29546.25,0.05195233932787911,0.01110567246926038,243406.0,0.4279903915536402,0.08251359910781852,0.5099521705492225
Tunbridge Wells,LD,Con,78738.0,53641.0,8687.0,LD gain from Con,Con,LD,74823.0,54650.0,14645.0,Con hold,115311.0,48223.0,364634.0,124516.0,102906.0,435.0,862.0,50329.0,5252.0,236934.0,4578.0,5199.0,4586.0,2666.0,522.0,21294.0,67353.0,25317.0,6745.0,114512.0,109456.0,1930.0,40541.0,15582.0,980.0,6689.0,53916.0,20287.0,0.1957285861299333,0.1103279229850898,0.7303903879823049,0.6812593665066423,-0.0854006631448435,3.1621788034099088,1.0798275966733442,0.8924213648307621,0.0037724067955355518,0.007475435994831369,0.43646313014369836,0.04554639193138556,2.0547389234331503,0.039701329448187946,0.04508676535629732,0.03977070704442768,0.02312008394689145,0.004526888154642662,0.18466581679111274,0.5840986549418529,0.21955407550016912,0.05849398582962597,0.9930709125755566,0.9492242717520445,0.016737345092835896,0.35157964114438345,0.13513021307594245,0.00849875553936745,0.05800834265594783,0.4675703098576892,0.1759329118644362,0,1,1,17029.0,0.14767888579580438,-121623.0,-1.0547389234331503,99729.0,0.8648697869240576,11108.0,0.09633079237887106,21816.0,0.18919270494575538,0.04554639193138556,205843.0,1.7851115678469531,0.5840986549418529,0.42069137133732865
